lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,epoch
3.6e-06,9,,,,
3.6e-06,9,,,,
,9,0.09595135599374771,0.09595135599374771,0.09595135599374771,0
7.6e-06,19,,,,
7.6e-06,19,,,,
,19,0.05306814983487129,0.05306814983487129,0.05306814983487129,0
1.16e-05,29,,,,
1.16e-05,29,,,,
,29,0.037523116916418076,0.037523116916418076,0.037523116916418076,0
1.56e-05,39,,,,
1.56e-05,39,,,,
,39,0.03873945772647858,0.03873945772647858,0.03873945772647858,0
1.9600000000000002e-05,49,,,,
1.9600000000000002e-05,49,,,,
,49,0.05070498585700989,0.05070498585700989,0.05070498585700989,0
2.36e-05,59,,,,
2.36e-05,59,,,,
,59,0.031793657690286636,0.031793657690286636,0.031793657690286636,0
2.7600000000000003e-05,69,,,,
2.7600000000000003e-05,69,,,,
,69,0.04129874333739281,0.04129874333739281,0.04129874333739281,0
3.16e-05,79,,,,
3.16e-05,79,,,,
,79,0.020227450877428055,0.020227450877428055,0.020227450877428055,0
3.56e-05,89,,,,
3.56e-05,89,,,,
,89,0.21759343147277832,0.21759343147277832,0.21759343147277832,0
3.960000000000001e-05,99,,,,
3.960000000000001e-05,99,,,,
,99,0.08924560993909836,0.08924560993909836,0.08924560993909836,0
4.36e-05,109,,,,
4.36e-05,109,,,,
,109,0.06221538782119751,0.06221538782119751,0.06221538782119751,0
4.76e-05,119,,,,
4.76e-05,119,,,,
,119,0.037230320274829865,0.037230320274829865,0.037230320274829865,0
5.16e-05,129,,,,
5.16e-05,129,,,,
,129,0.04851513355970383,0.04851513355970383,0.04851513355970383,0
5.560000000000001e-05,139,,,,
5.560000000000001e-05,139,,,,
,139,0.2310497760772705,0.2310497760772705,0.2310497760772705,0
5.96e-05,149,,,,
5.96e-05,149,,,,
,149,0.05631992965936661,0.05631992965936661,0.05631992965936661,0
6.36e-05,159,,,,
6.36e-05,159,,,,
,159,0.06224638223648071,0.06224638223648071,0.06224638223648071,0
6.76e-05,169,,,,
6.76e-05,169,,,,
,169,0.04011872038245201,0.04011872038245201,0.04011872038245201,0
7.16e-05,179,,,,
7.16e-05,179,,,,
,179,0.07731135189533234,0.07731135189533234,0.07731135189533234,0
7.560000000000001e-05,189,,,,
7.560000000000001e-05,189,,,,
